id,name,frequency
1,Smith,2501922
2,Johnson,2014470
3,Williams,1738413
4,Jones,1544427
5,Brown,1544427
6,Davis,1193760
7,Miller,1054488
8,Wilson,843093
9,Moore,775944
10,Taylor,773457
11,Anderson,773457
12,Thomas,773457
13,Jackson,770970
14,White,693873
15,Harris,683925
16,Martin,678951
17,Thompson,669003
18,Garcia,631698
19,Martinez,581958
20,Robinson,579471
21,Clark,574497
22,Rodriguez,569523
23,Lewis,562062
24,Lee,547140
25,Walker,544653
26,Hall,497400
27,Allen,494913
28,Young,479991
29,Hernandez,477504
30,King,472530
31,Wright,470043
32,Lopez,465069
33,Hill,465069
34,Scott,460095
35,Green,455121
36,Adams,432738
37,Baker,425277
38,Gonzalez,412842
39,Nelson,402894
40,Carter,402894
41,Mitchell,397920
42,Perez,385485
43,Roberts,380511
44,Turner,378024
45,Phillips,370563
46,Campbell,370563
47,Parker,363102
48,Evans,350667
49,Edwards,340719
50,Collins,333258
51,Stewart,330771
52,Sanchez,323310
53,Morris,310875
54,Rogers,305901
55,Reed,303414
56,Cook,298440
57,Morgan,293466
58,Bell,290979
59,Murphy,290979
60,Bailey,286005
61,Rivera,281031
62,Cooper,281031
63,Richardson,278544
64,Cox,273570
65,Howard,273570
66,Ward,268596
67,Torres,268596
68,Peterson,266109
69,Gray,263622
70,Ramirez,261135
71,James,261135
72,Watson,256161
73,Brooks,256161
74,Kelly,253674
75,Sanders,248700
76,Price,246213
77,Bennett,246213
78,Wood,243726
79,Barnes,241239
80,Ross,238752
81,Henderson,236265
82,Coleman,236265
83,Jenkins,236265
84,Perry,233778
85,Powell,231291
86,Long,228804
87,Patterson,228804
88,Hughes,228804
89,Flores,228804
90,Washington,228804
91,Butler,226317
92,Simmons,226317
93,Foster,226317
94,Gonzales,216369
95,Bryant,216369
96,Alexander,211395
97,Russell,211395
98,Griffin,208908
99,Diaz,208908
100,Hayes,206421
101,Myers,206421
102,Ford,203934
103,Hamilton,203934
104,Graham,203934
105,Sullivan,201447
106,Wallace,201447
107,Woods,198960
108,Cole,198960
109,West,198960
110,Jordan,193986
111,Owens,193986
112,Reynolds,193986
113,Fisher,191499
114,Ellis,191499
115,Harrison,189012
116,Gibson,186525
117,Mcdonald,186525
118,Cruz,186525
119,Marshall,186525
120,Ortiz,186525
121,Gomez,186525
122,Murray,184038
123,Freeman,184038
124,Wells,181551
125,Webb,179064
126,Simpson,174090
127,Stevens,174090
128,Tucker,174090
129,Porter,171603
130,Hunter,171603
131,Hicks,171603
132,Crawford,169116
133,Henry,169116
134,Boyd,169116
135,Mason,169116
136,Morales,166629
137,Kennedy,166629
138,Warren,166629
139,Dixon,164142
140,Ramos,164142
141,Reyes,164142
142,Burns,161655
143,Gordon,161655
144,Shaw,161655
145,Holmes,161655
146,Rice,159168
147,Robertson,159168
148,Hunt,156681
149,Black,156681
150,Daniels,154194
151,Palmer,154194
152,Mills,151707
153,Nichols,149220
154,Grant,149220
155,Knight,149220
156,Ferguson,146733
157,Rose,146733
158,Stone,146733
159,Hawkins,146733
160,Dunn,144246
161,Perkins,144246
162,Hudson,144246
163,Spencer,141759
164,Gardner,141759
165,Stephens,141759
166,Payne,141759
167,Pierce,139272
168,Berry,139272
169,Matthews,139272
170,Arnold,139272
171,Wagner,136785
172,Willis,136785
173,Ray,136785
174,Watkins,136785
175,Olson,136785
176,Carroll,136785
177,Duncan,136785
178,Snyder,136785
179,Hart,134298
180,Cunningham,134298
181,Bradley,134298
182,Lane,134298
183,Andrews,134298
184,Ruiz,134298
185,Harper,134298
186,Fox,131811
187,Riley,131811
188,Armstrong,131811
189,Carpenter,131811
190,Weaver,131811
191,Greene,131811
192,Lawrence,129324
193,Elliott,129324
194,Chavez,129324
195,Sims,129324
196,Austin,129324
197,Peters,129324
198,Kelley,129324
199,Franklin,126837
200,Lawson,126837
201,Fields,126837
202,Gutierrez,126837
203,Ryan,126837
204,Schmidt,126837
205,Carr,126837
206,Vasquez,126837
207,Castillo,126837
208,Wheeler,126837
209,Chapman,124350
210,Oliver,124350
211,Montgomery,121863
212,Richards,121863
213,Williamson,121863
214,Johnston,121863
215,Banks,119376
216,Meyer,119376
217,Bishop,119376
218,Mccoy,119376
219,Howell,119376
220,Alvarez,119376
221,Morrison,119376
222,Hansen,116889
223,Fernandez,116889
224,Garza,116889
225,Harvey,116889
226,Little,114402
227,Burton,114402
228,Stanley,114402
229,Nguyen,114402
230,George,114402
231,Jacobs,114402
232,Reid,114402
233,Kim,111915
234,Fuller,111915
235,Lynch,111915
236,Dean,111915
237,Gilbert,111915
238,Garrett,111915
239,Romero,111915
240,Welch,109428
241,Larson,109428
242,Frazier,109428
243,Burke,109428
244,Hanson,106941
245,Day,106941
246,Mendoza,106941
247,Moreno,106941
248,Bowman,106941
249,Medina,104454
250,Fowler,104454
251,Brewer,104454
252,Hoffman,104454
253,Carlson,104454
254,Silva,104454
255,Pearson,104454
256,Holland,104454
257,Douglas,101967
258,Fleming,101967
259,Jensen,101967
260,Vargas,101967
261,Byrd,101967
262,Davidson,101967
263,Hopkins,101967
264,May,99480
265,Terry,99480
266,Herrera,99480
267,Wade,99480
268,Soto,99480
269,Walters,99480
270,Curtis,99480
271,Neal,96993
272,Caldwell,96993
273,Lowe,96993
274,Jennings,96993
275,Barnett,96993
276,Graves,96993
277,Jimenez,96993
278,Horton,96993
279,Shelton,96993
280,Barrett,96993
281,Obrien,96993
282,Castro,96993
283,Sutton,94506
284,Gregory,94506
285,Mckinney,94506
286,Lucas,94506
287,Miles,94506
288,Craig,94506
289,Rodriquez,92019
290,Chambers,92019
291,Holt,92019
292,Lambert,92019
293,Fletcher,92019
294,Watts,92019
295,Bates,92019
296,Hale,92019
297,Rhodes,92019
298,Pena,92019
299,Beck,92019
300,Newman,89532
301,Haynes,89532
302,Mcdaniel,89532
303,Mendez,89532
304,Bush,89532
305,Vaughn,89532
306,Parks,87045
307,Dawson,87045
308,Santiago,87045
309,Norris,87045
310,Hardy,87045
311,Love,87045
312,Steele,87045
313,Curry,87045
314,Powers,87045
315,Schultz,87045
316,Barker,87045
317,Guzman,84558
318,Page,84558
319,Munoz,84558
320,Ball,84558
321,Keller,84558
322,Chandler,84558
323,Weber,84558
324,Leonard,84558
325,Walsh,82071
326,Lyons,82071
327,Ramsey,82071
328,Wolfe,82071
329,Schneider,82071
330,Mullins,82071
331,Benson,82071
332,Sharp,82071
333,Bowen,82071
334,Daniel,82071
335,Barber,79584
336,Cummings,79584
337,Hines,79584
338,Baldwin,79584
339,Griffith,79584
340,Valdez,79584
341,Hubbard,79584
342,Salazar,79584
343,Reeves,79584
344,Warner,77097
345,Stevenson,77097
346,Burgess,77097
347,Santos,77097
348,Tate,77097
349,Cross,77097
350,Garner,77097
351,Mann,77097
352,Mack,77097
353,Moss,77097
354,Thornton,77097
355,Dennis,77097
356,Mcgee,77097
357,Farmer,74610
358,Delgado,74610
359,Aguilar,74610
360,Vega,74610
361,Glover,74610
362,Manning,74610
363,Cohen,74610
364,Harmon,74610
365,Rodgers,74610
366,Robbins,74610
367,Newton,74610
368,Todd,74610
369,Blair,74610
370,Higgins,74610
371,Ingram,74610
372,Reese,74610
373,Cannon,74610
374,Strickland,74610
375,Townsend,74610
376,Potter,74610
377,Goodwin,74610
378,Walton,74610
379,Rowe,72123
380,Hampton,72123
381,Ortega,72123
382,Patton,72123
383,Swanson,72123
384,Joseph,72123
385,Francis,72123
386,Goodman,72123
387,Maldonado,72123
388,Yates,72123
389,Becker,72123
390,Erickson,72123
391,Hodges,72123
392,Rios,72123
393,Conner,72123
394,Adkins,72123
395,Webster,69636
396,Norman,69636
397,Malone,69636
398,Hammond,69636
399,Flowers,69636
